,time,title,company,location,job-link,company-link
61,5 days ago,Guest Experience Coordinator,Four Seasons Hotels and Resorts,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/guest-experience-coordinator-at-four-seasons-hotels-and-resorts-3878116145?position=2&pageNum=2&refId=FD9pkg9NVIf4XKlrH%2Fx4Xw%3D%3D&trackingId=gnslaz4xYprP3uRjMbj6Qw%3D%3D&trk=public_jobs_jserp-result_search-card,https://ca.linkedin.com/company/four-seasons-hotels-and-resorts?trk=public_jobs_jserp-result_job-search-card-subtitle
62,1 week ago,Admin Clerk,Marriott International,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/admin-clerk-at-marriott-international-3873536233?position=3&pageNum=2&refId=FD9pkg9NVIf4XKlrH%2Fx4Xw%3D%3D&trackingId=PPDp%2FBeevcX7JcEgq%2BVZ1A%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle
63,1 month ago,Product Designer (Textile Designer),Whitecollars,Egypt,https://eg.linkedin.com/jobs/view/product-designer-textile-designer-at-whitecollars-3830428009?position=4&pageNum=2&refId=FD9pkg9NVIf4XKlrH%2Fx4Xw%3D%3D&trackingId=GYgkLRT%2FtP2XBXtIKqTVtw%3D%3D&trk=public_jobs_jserp-result_search-card,https://uk.linkedin.com/company/whitecollarshrm?trk=public_jobs_jserp-result_job-search-card-subtitle
64,undefined,Customer Service,Art House Furniture,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/customer-service-at-art-house-furniture-3886209224?position=5&pageNum=2&refId=FD9pkg9NVIf4XKlrH%2Fx4Xw%3D%3D&trackingId=zCh68SyltUAOnZd%2BZ1DtiQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://eg.linkedin.com/company/art-house-furniture-eg?trk=public_jobs_jserp-result_job-search-card-subtitle
65,2 weeks ago,Sr. Art Director,Rekrut by Talent 360,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/sr-art-director-at-rekrut-by-talent-360-3863222641?position=6&pageNum=2&refId=FD9pkg9NVIf4XKlrH%2Fx4Xw%3D%3D&trackingId=3nYfzv7ZhMp3mLZq6lEUjQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://eg.linkedin.com/company/rekrut-talents?trk=public_jobs_jserp-result_job-search-card-subtitle
66,3 weeks ago,Senior Art Director,Viola Communications,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/senior-art-director-at-viola-communications-3854113631?position=7&pageNum=2&refId=FD9pkg9NVIf4XKlrH%2Fx4Xw%3D%3D&trackingId=ytmMSkpg%2BRzlcuV8Ybdhjg%3D%3D&trk=public_jobs_jserp-result_search-card,https://ae.linkedin.com/company/viola-communications?trk=public_jobs_jserp-result_job-search-card-subtitle
67,5 days ago,Purchasing Supervisor - Waldorf Astoria Heliopolis,Hilton,"Qesm Heliopolis, Cairo, Egypt",https://eg.linkedin.com/jobs/view/purchasing-supervisor-waldorf-astoria-heliopolis-at-hilton-3880081790?position=8&pageNum=2&refId=FD9pkg9NVIf4XKlrH%2Fx4Xw%3D%3D&trackingId=SsLUOfEif8bVSDK8Dut8%2FQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/hilton?trk=public_jobs_jserp-result_job-search-card-subtitle
68,3 days ago,Design and Rendering Specialist,PepsiCo,"New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/design-and-rendering-specialist-at-pepsico-3883363015?position=9&pageNum=2&refId=FD9pkg9NVIf4XKlrH%2Fx4Xw%3D%3D&trackingId=O5RM%2FMTDPXZsVRcYaDO7Zw%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/pepsico?trk=public_jobs_jserp-result_job-search-card-subtitle
69,1 week ago,Junior Motion Graphics Designer,dentsu,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/junior-motion-graphics-designer-at-dentsu-3742406335?position=10&pageNum=2&refId=FD9pkg9NVIf4XKlrH%2Fx4Xw%3D%3D&trackingId=%2FhaY9xgiJm240NgXW82deQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://jp.linkedin.com/company/dentsu?trk=public_jobs_jserp-result_job-search-card-subtitle
70,3 days ago,Student Life Manager,Antal International,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/student-life-manager-at-antal-international-3883952644?position=1&pageNum=5&refId=oS1f9qTN4XMtVC0yRLVVCA%3D%3D&trackingId=eGMI8RD2iK8U%2FIo7KbB3Kw%3D%3D&trk=public_jobs_jserp-result_search-card,https://uk.linkedin.com/company/antal-international?trk=public_jobs_jserp-result_job-search-card-subtitle
